timestamp,location,vehicle_count,avg_speed
2025-10-29T19:46:39.000Z,Alexandria,83,56.26
2025-10-29T19:46:40.000Z,Giza,53,100.24
2025-10-29T19:46:40.000Z,Cairo,100,73.14
2025-10-29T19:46:40.000Z,Mansoura,77,64.61
2025-10-29T19:46:41.000Z,Tanta,17,71.24
2025-10-29T19:46:41.000Z,Tanta,62,54.55
2025-10-29T19:46:41.000Z,Alexandria,79,104.87
2025-10-29T19:46:41.000Z,Giza,87,113.1
2025-10-29T19:46:41.000Z,Alexandria,50,75.21
2025-10-29T19:46:42.000Z,Alexandria,64,103.05
2025-10-29T19:46:42.000Z,Alexandria,67,36.59
2025-10-29T19:46:42.000Z,Giza,62,65.96
2025-10-29T19:46:42.000Z,Tanta,87,39.65
2025-10-29T19:46:42.000Z,Tanta,19,119.83
2025-10-29T19:46:43.000Z,Giza,33,118.61
2025-10-29T19:46:43.000Z,Tanta,15,67.34
2025-10-29T19:46:43.000Z,Alexandria,78,30.46
2025-10-29T19:46:43.000Z,Tanta,55,86.84
2025-10-29T19:46:43.000Z,Tanta,42,98.1
2025-10-29T19:46:44.000Z,Alexandria,17,36.76
2025-10-29T19:46:44.000Z,Tanta,53,104.3
2025-10-29T19:46:44.000Z,Mansoura,71,57.14
2025-10-29T19:46:44.000Z,Tanta,11,79.09
2025-10-29T19:46:44.000Z,Cairo,76,81.75
2025-10-29T19:46:45.000Z,Tanta,30,55.9
2025-10-29T19:46:45.000Z,Cairo,48,101.87
2025-10-29T19:46:45.000Z,Mansoura,84,27.18
2025-10-29T19:46:45.000Z,Giza,24,82.74
2025-10-29T19:46:45.000Z,Alexandria,90,29.27
2025-10-29T19:46:46.000Z,Tanta,93,31.27
2025-10-29T19:46:46.000Z,Giza,83,38.39
2025-10-29T19:46:46.000Z,Mansoura,26,89.35
2025-10-29T19:46:46.000Z,Cairo,76,62.08
2025-10-29T19:46:46.000Z,Alexandria,100,80.2
2025-10-29T19:46:47.000Z,Alexandria,74,23.97
2025-10-29T19:46:47.000Z,Cairo,66,22.75
2025-10-29T19:46:47.000Z,Tanta,61,57.81
2025-10-29T19:46:47.000Z,Mansoura,15,98.1
